   2384	      0	     75
   2659	    188	     73
   2853	    375	     73
   3138	    563	     72
   3581	    750	     70
   3866	   1313	     69
   4578	   1875	     72
   5344	   2813	     77
   5566	   3000	     75
   5856	   3188	     73
   6069	   3375	     73
   6172	   3563	     72
   6456	   3750	     70
   6722	   4313	     69
   7941	   5325	     65
   8253	   5813	     69
   8878	   6262	     65
   9031	   6375	     72
   9563	   6825	     69
   9794	   7313	     75
  10297	   7688	     72
  10591	   7875	     69
  11303	   8325	     65
  11456	   8813	     69
  12044	   9263	     65
  12194	   9375	     72
  12800	   9825	     69
  13084	  10313	     75
  14825	  12000	     79
  15006	  12188	     77
  15272	  12375	     75
  15531	  12563	     74
  16237	  12750	     72
  16612	  13313	     70
  16822	  13500	     65
  17044	  13688	     74
  17281	  13875	     74
  17491	  14063	     70
  17647	  14250	     77
  18019	  14813	     77
  18453	  15188	     79
  18697	  15375	     77
  18756	  15463	     75
  19219	  15750	     74
  19475	  16313	     74
  19678	  16500	     72
  19987	  16688	     72
  20191	  16875	     72
  20375	  17063	     74
  20619	  17250	     70
  20941	  17813	     74
  21694	  18375	     72
  22181	  18750	     65
  22484	  19313	     70
  22703	  19500	     65
  22991	  19688	     74
  23209	  19875	     74
  23409	  20063	     70
  23666	  20250	     77
  23903	  20813	     77
  24394	  21188	     79
  24722	  21375	     77
  24853	  21463	     75
  25622	  21750	     74
  26253	  22313	     74
  27725	  22688	     75
  28056	  22875	     74
  28247	  22963	     72
  29922	  23813	     72
  30119	  24000	     74
  30303	  24188	     75
  30613	  24375	     65
  30809	  24563	     67
  31066	  24750	     69
  31334	  25313	     70
  32503	  26813	     74
