736	0	55
736	0	62
736	0	70
736	0	79
6321	2596	77
7111	2884	75
7482	3173	74
7755	3461	72
8040	3750	70
8295	4039	69
8672	4327	70
8893	4471	67
12034	5770	66
14472	7211	64
15063	7500	62
15447	7789	64
15714	8077	66
15911	8366	67
16230	8654	69
16521	8943	72
16695	9086	70
18982	10673	74
19191	10818	72
19388	10961	70
19690	11250	72
19830	11539	72
21612	12404	70
21827	12548	72
22006	12693	74
22721	13270	69
26836	15289	67
27295	15577	69
27655	15721	70
27794	15866	72
27957	16009	74
28073	16154	75
32043	19039	69
32682	19616	75
33471	20193	74
34191	20770	74
36501	22500	78
38394	23943	75
38928	24230	74
39195	24520	72
39462	24807	70
39833	25096	72
40008	25241	69
40304	25384	70
40716	25673	66
40873	25961	67
41320	26250	62
41563	26539	63
41836	26827	74
41964	26971	72
42098	27116	70
42237	27259	72
42475	27404	72
42574	27548	70
42707	27620	72
45104	28846	78
46271	30000	81
49650	32884	74
50271	33461	78
50852	34039	81
51850	34616	79
55577	37500	82
55972	37789	81
56198	37932	79
56384	38077	77
57603	38943	76
57951	39230	77
61811	42116	74
62520	42693	75
64122	43846	82
65178	44423	79
67872	46730	73
68661	47307	81
70379	48461	65
71604	49327	81
71958	49616	79
72249	49904	77
72510	50193	76
72812	50480	74
73375	50770	64
74095	51346	74
74867	51923	79
75563	52500	76
76318	53077	74
77055	53654	73
77665	54230	69
78541	54807	79
79360	55384	62
80515	55961	79
81043	56539	77
81618	57116	79
81879	57404	76
82036	57693	77
85722	60577	62
86337	61154	67
87069	61730	77
88009	62307	76
89437	63605	77
89646	63750	79
89762	63895	81
89884	64039	82
90000	64182	76
90116	64327	77
90244	64471	79
92061	65770	73
92967	66923	67
93251	67211	65
93721	67789	67
93837	67932	64
94029	68077	65
94551	68654	74
95875	69664	73
96090	69807	71
96339	70096	73
96554	70384	74
96879	70673	76
97083	70961	77
97367	71250	79
97570	71395	76
97889	71539	73
100025	73270	74
104408	76443	74
104937	76730	72
105174	77020	70
105354	77307	69
105465	77452	70
105558	77596	69
105645	77741	70
105912	77884	70
106126	78173	69
106249	78318	70
107421	79039	75
107787	79327	74
108234	79616	75
109836	80770	78
110370	81057	75
110927	81346	74
111177	81634	72
111409	81923	70
111810	82500	72
112117	82789	69
113551	83366	70
115322	84520	67
115664	84807	70
115937	85096	74
116430	85384	79
116831	85673	77
117057	85961	75
117330	86250	74
117585	86539	72
117777	86827	70
118050	87116	69
118282	87259	67
118445	87404	66
118654	87548	67
120082	88846	66
122502	90866	67
122740	91009	68
122944	91154	67
123135	91443	65
123391	91730	63
123623	92020	65
123750	92164	62
125016	92884	74
126276	94039	72
127570	95193	74
128615	96346	75
130879	97789	70
131128	98077	72
131373	98366	74
131570	98654	75
131831	98943	77
131982	99086	79
132185	99230	80
132818	99807	70
133346	100384	62
133938	100961	80
134606	101539	63
135349	102116	80
135947	102693	79
137456	103846	73
138519	105000	63
138791	105289	67
138983	105577	70
139232	105866	73
139714	106154	56
140353	106730	72
141665	107884	79
141938	108173	77
144056	109616	74
145235	110480	75
149879	114298	59
150906	114587	62
151191	114875	65
151423	115164	68
151626	115453	71
151870	115741	74
152108	116030	77
152352	116318	80
152520	116462	79
154059	117471	80
154441	117616	79
154558	117760	78
154737	117905	79
154807	118048	74
154952	118193	75
155045	118337	71
155161	118482	72
155422	118625	66
155928	118914	67
156514	119202	75
157164	119780	74
157692	120357	72
158081	120500	71
158191	120645	72
159457	121221	72
161320	122087	70
161529	122232	68
161785	122375	67
162208	122664	65
162423	122952	63
162737	123241	62
163161	123530	60
163666	123818	59
