40	288	74
580	577	66
1010	865	79
1490	1154	80
2070	1442	72
2560	1731	70
3070	2019	79
3560	2308	85
4120	2596	74
4560	2885	85
5060	3173	74
6650	4038	80
11180	6001	79
12030	6141	80
12130	6219	85
12230	6300	79
12360	6420	87
12860	6716	81
13470	7046	84
14110	7374	86
14860	7704	80
15660	7945	81
15740	8035	79
16310	8365	87
17020	8558	85
17120	8642	80
17270	8750	87
18140	9135	86
18970	9411	79
19070	9519	87
20300	9904	81
20820	10072	85
20900	10188	87
21330	10415	81
21930	10673	86
22860	10835	79
22950	10920	85
23040	11004	80
23180	11112	87
23860	11551	83
24450	11989	81
25190	12431	85
26030	12870	79
27070	13209	87
27180	13340	86
28660	13750	92
29100	13887	86
29230	13989	85
29350	14095	87
29960	14363	81
30570	14672	79
31340	14871	87
31500	15023	92
